,Hardware,Name,Price,SKU,Info,Image,Description,Power,PCIE Slot
32,CPU,Core i9-10920X Cascade Lake 3.5 GHz LGA 2066 Boxed Processor,599.99,068767,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618408_068767_01_front_thumbnail.jpg,"Build a powerful computer with this Intel Core i9 X-Series desktop processor. The 12 cores and 3.50GHz speed ensure high-speed operations, while the 19.25MB of cache memory provide dynamic sharing of queued commands. This Intel Core i9 X-Series desktop processor features Intel Max Turbo Boost technology to handle demanding tasks.",165,N/A
33,CPU,Core i9-10920X Cascade Lake 3.5 GHz LGA 2066 Boxed Processor,599.99,068767,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618408_068767_01_front_thumbnail.jpg,"Build a powerful computer with this Intel Core i9 X-Series desktop processor. The 12 cores and 3.50GHz speed ensure high-speed operations, while the 19.25MB of cache memory provide dynamic sharing of queued commands. This Intel Core i9 X-Series desktop processor features Intel Max Turbo Boost technology to handle demanding tasks.",165,N/A
34,CPU,Pentium Gold G5400 Coffee Lake 3.7GHz Dual-Core LGA 1151 Boxed Processor,49.99,783878,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/508541_783878_01_front_thumbnail.jpg,"Whether you are streaming Ultra HD video to a big screen or simply reading the news, get impressive multimedia and entertainment features in a wide range of devices with the latest Intel Pentium processors.",58,N/A
35,CPU,Pentium Gold G5400 Coffee Lake 3.7GHz Dual-Core LGA 1151 Boxed Processor,49.99,783878,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/508541_783878_01_front_thumbnail.jpg,"Whether you are streaming Ultra HD video to a big screen or simply reading the news, get impressive multimedia and entertainment features in a wide range of devices with the latest Intel Pentium processors.",58,N/A
36,CPU,Core i9-10940X Cascade Lake 3.3GHz LGA 2066 Boxed Processor,699.99,068775,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618407_068775_01_front_thumbnail.jpg,"Take advantage of increased customizability with this unlocked 3.30GHz Intel Core i9 X-series processor. The 14 cores and Intel Turbo Boost Max Technology 3.0 help complete video encoding and 3-D modeling tasks quickly. This Intel Core i9 X-series processor features Intel HT Technology for prompt multitasking, and Intel AES-NI technology supports fast decryption and encryption to help keep your data secure.",165,N/A
37,CPU,Core i9-10940X Cascade Lake 3.3GHz LGA 2066 Boxed Processor,699.99,068775,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618407_068775_01_front_thumbnail.jpg,"Take advantage of increased customizability with this unlocked 3.30GHz Intel Core i9 X-series processor. The 14 cores and Intel Turbo Boost Max Technology 3.0 help complete video encoding and 3-D modeling tasks quickly. This Intel Core i9 X-series processor features Intel HT Technology for prompt multitasking, and Intel AES-NI technology supports fast decryption and encryption to help keep your data secure.",165,N/A
38,CPU,Ryzen 5 3600 Matisse 3.6GHz 6-Core AM4 Boxed Processor with Wraith Stealth Cooler,179.99,951970,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608320_951970_01_front_thumbnail.jpg,"3rd Gen AMD Ryzen processors are built using the world's most advanced 7nm manufacturing technology. Paired with Wraith coolers, AMD Ryzen processors deliver game-winning performance while keeping your system astonishingly cool and quiet. Ryzen processors neural-net intelligence can adapt to your workload. That's the advantage you gain when you own the world's most advanced processor for gaming.",65,N/A
39,CPU,Ryzen 5 3600 Matisse 3.6GHz 6-Core AM4 Boxed Processor with Wraith Stealth Cooler,179.99,951970,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608320_951970_01_front_thumbnail.jpg,"3rd Gen AMD Ryzen processors are built using the world's most advanced 7nm manufacturing technology. Paired with Wraith coolers, AMD Ryzen processors deliver game-winning performance while keeping your system astonishingly cool and quiet. Ryzen processors neural-net intelligence can adapt to your workload. That's the advantage you gain when you own the world's most advanced processor for gaming.",65,N/A
40,CPU,Ryzen 7 3700X Matisse 3.6GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,279.99,952036,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608318_952036_01_front_thumbnail.jpg,"Experience elite performance in games, content creation, and intense multi-tasking. A beautifully balanced design for serious PC enthusiasts.",65,N/A
41,CPU,Ryzen 7 3700X Matisse 3.6GHz 8-Core AM4 Boxed Processor with Wraith Prism Cooler,279.99,952036,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608318_952036_01_front_thumbnail.jpg,"Experience elite performance in games, content creation, and intense multi-tasking. A beautifully balanced design for serious PC enthusiasts.",65,N/A
42,CPU,Ryzen 5 5600X Vermeer 3.7GHz 6-Core AM4 Boxed Processor with Wraith Stealth Cooler,299.99,195073,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/630285_195073_01_front_thumbnail.jpg,"Get the high-speed gaming performance of the world's best desktop processor. Encode faster. Render faster. Iterate faster. Create more, faster with AMD Ryzen processor.",65,N/A
43,CPU,Ryzen 5 5600X Vermeer 3.7GHz 6-Core AM4 Boxed Processor with Wraith Stealth Cooler,299.99,195073,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/630285_195073_01_front_thumbnail.jpg,"Get the high-speed gaming performance of the world's best desktop processor. Encode faster. Render faster. Iterate faster. Create more, faster with AMD Ryzen processor.",65,N/A
44,CPU,Ryzen 9 3900X Matisse 3.8GHz 12-Core AM4 Boxed Processor with Wraith Prism Cooler,399.99,952028,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608316_952028_01_front_thumbnail.jpg,Blur the line between elite gaming performance and workstation-class content creation with the most advanced desktop processors in the world.,105,N/A
45,CPU,Ryzen 9 3900X Matisse 3.8GHz 12-Core AM4 Boxed Processor with Wraith Prism Cooler,399.99,952028,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608316_952028_01_front_thumbnail.jpg,Blur the line between elite gaming performance and workstation-class content creation with the most advanced desktop processors in the world.,105,N/A
46,CPU,Ryzen 3 3200G Picasso 3.6GHz Quad-Core AM4 Boxed Processor with Wraith Stealth Cooler,99.99,951897,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608329_951897_01_front_thumbnail.jpg,"2nd Gen AMD Ryzen processors with Radeon graphics combine the power of Zen+ and Vega, delivering a truly immersive 1080p gaming experience for the most demanding of gamers all on one processor. When you finish gaming, swap over to getting work done with effortless speed using 2nd Gen AMD Ryzen processors with Radeon graphics. Office apps, photo editing, web surfing and watching top streamers are a breeze with incredible multi-threaded processing. Ryzen processors with Radeon graphics are powered to deliver high performance fidelity you can see.",65,N/A
47,CPU,Ryzen 3 3200G Picasso 3.6GHz Quad-Core AM4 Boxed Processor with Wraith Stealth Cooler,99.99,951897,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/608329_951897_01_front_thumbnail.jpg,"2nd Gen AMD Ryzen processors with Radeon graphics combine the power of Zen+ and Vega, delivering a truly immersive 1080p gaming experience for the most demanding of gamers all on one processor. When you finish gaming, swap over to getting work done with effortless speed using 2nd Gen AMD Ryzen processors with Radeon graphics. Office apps, photo editing, web surfing and watching top streamers are a breeze with incredible multi-threaded processing. Ryzen processors with Radeon graphics are powered to deliver high performance fidelity you can see.",65,N/A
48,CPU,Ryzen 7 3800XT Matisse 3.9GHz 8-Core AM4 Boxed Processor,299.99,131862,AM4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/625117_131862_01_front_thumbnail.jpg,"3rd Gen AMD Ryzen 7 3800XT processors offer incredibly powerful hardware for high-refresh and high-res gaming. Do more of what you love with 8 cores at clock speeds of up to 4.7GHz, full overclocking support, and 36MB of GameCache.",105,N/A
